City_ID,City,Country,Max Temp,Current Condition,Lat,Lng,Hotel Name
330,Parnarama,BR,76.37,scattered clouds,-5.6817,-43.0933,Hotel São Luiz
332,Naze,JP,65.32,moderate rain,28.3667,129.4833,Shishime Hotel
336,Vila Franca Do Campo,PT,70.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
340,Bandarbeyla,SO,80.62,broken clouds,9.4942,50.8122,JABIR HOTEL
341,Lata,PT,65.07,broken clouds,40.1629,-8.3327,Casa Maquia
342,Banda Aceh,ID,80.74,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
344,Namibe,AO,68.65,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
345,Korcula,HR,69.73,scattered clouds,42.9622,17.1369,Marko Polo Hotel by Aminess
346,Sao Filipe,CV,71.85,clear sky,14.8961,-24.4956,Hotel Xaguate
348,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
354,Vercelli,IT,73.13,light rain,45.3231,8.4153,Hotel Cinzia Ristorante
355,Jambi,ID,74.41,light rain,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
356,Muisne,EC,79.27,light rain,0.6,-80.0333,Quinta Samay
359,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
360,Mbekenyera,TZ,68.36,scattered clouds,-10.0,38.9833,
361,Guerrero Negro,MX,68.4,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
362,Port Said,EG,69.8,clear sky,31.2565,32.2841,Aracan Hotel
366,Namatanai,PG,81.1,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
367,Kindu,CD,69.42,light rain,-2.95,25.95,Résidence Okanda
369,Pedro Juan Caballero,PY,66.16,clear sky,-22.5472,-55.7333,Hotel Pousada do Bosque
370,Bani,DO,82.85,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
371,Najran,SA,77.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
372,Caravelas,BR,70.43,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
376,Santa Maria Da Vitoria,BR,77.36,few clouds,-13.3947,-44.1886,Pousada Rio Current
377,Puerto Cabezas,NI,79.0,light rain,14.0351,-83.3888,Cabaña Caribe
378,Kaniama,CD,72.88,overcast clouds,-7.5667,24.1833,
379,Acarau,BR,78.13,scattered clouds,-2.8856,-40.12,castelo pizzaria
382,Frontera,MX,73.15,overcast clouds,26.9333,-101.45,Fiesta Inn Monclova
