City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Timbo,BR,2022-04-28 00:05:05,-26.8233,-49.2717,74.57,96,7,1.01
162,Deniliquin,AU,2022-04-28 00:05:52,-35.5333,144.9667,64.18,80,100,9.86
163,Sangar,RU,2022-04-28 00:05:53,63.9242,127.4739,19.56,90,68,5.53
164,Chuy,UY,2022-04-28 00:04:57,-33.6971,-53.4616,58.53,90,67,5.88
165,Faya,SA,2022-04-28 00:05:54,18.3851,42.4509,57.72,40,0,2.24
166,Khatanga,RU,2022-04-28 00:05:54,71.9667,102.5,22.14,85,100,15.97
167,Carnarvon,AU,2022-04-28 00:05:55,-24.8667,113.6333,69.8,58,8,11.72
168,Nantucket,US,2022-04-28 00:05:55,41.2835,-70.0995,51.94,60,17,29.37
169,La Ronge,CA,2022-04-28 00:05:55,55.1001,-105.2842,39.63,76,89,12.01
170,Diego De Almagro,CL,2022-04-28 00:05:56,-26.3667,-70.05,60.21,47,0,2.86
171,Palora,EC,2022-04-28 00:05:56,-1.7,-77.9333,67.96,98,34,0.96
172,Saraland,US,2022-04-28 00:05:56,30.8207,-88.0706,75.92,35,0,6.02
173,Sovetskiy,RU,2022-04-28 00:05:57,61.3614,63.5842,38.37,98,100,2.8
174,Huayucachi,PE,2022-04-28 00:05:57,-12.1333,-75.2333,52.5,77,87,5.64
175,Taoudenni,ML,2022-04-28 00:05:57,22.6783,-3.9836,81.28,14,0,8.1
176,Ingham,US,2022-04-28 00:05:57,42.6,-84.3833,42.42,60,0,4.61
177,Anjozorobe,MG,2022-04-28 00:05:58,-18.4,47.8667,61.61,92,53,10.27
178,Zhuhai,CN,2022-04-28 00:05:58,22.2769,113.5678,85.86,94,40,9.22
179,Boende,CD,2022-04-28 00:05:58,-0.2167,20.8667,69.82,98,49,2.21
180,Luau,AO,2022-04-28 00:05:59,-10.7073,22.2247,63.99,90,92,3.31
181,Sydney,AU,2022-04-28 00:01:00,-33.8679,151.2073,69.31,89,75,9.22
182,Lebu,CL,2022-04-28 00:05:59,-37.6167,-73.65,50.22,75,13,2.39
183,Provideniya,RU,2022-04-28 00:05:59,64.3833,-173.3,28.51,80,0,7.0
184,Kambove,CD,2022-04-28 00:06:00,-10.8764,26.5969,58.28,96,43,4.94
185,Tagusao,PH,2022-04-28 00:06:00,9.1924,117.8141,78.12,90,100,2.48
186,Avera,US,2022-04-28 00:03:09,33.194,-82.5271,69.31,45,0,7.09
187,Santa Lucia,ES,2022-04-28 00:06:00,27.9117,-15.5407,56.77,68,20,24.16
188,Marsh Harbour,BS,2022-04-28 00:05:32,26.5412,-77.0636,74.37,70,87,5.23
189,Fortuna,US,2022-04-28 00:06:01,40.5982,-124.1573,56.93,66,75,14.97
190,Quatre Cocos,MU,2022-04-28 00:06:01,-20.2078,57.7625,73.09,82,5,2.55
191,Severo-Kurilsk,RU,2022-04-28 00:06:01,50.6789,156.125,34.14,81,31,23.94
192,Keti Bandar,PK,2022-04-28 00:06:02,24.1447,67.4497,80.69,83,16,12.12
193,Ergani,TR,2022-04-28 00:06:02,38.2653,39.7621,57.74,69,100,1.88
194,Victoria,HK,2022-04-28 00:05:29,22.2855,114.1577,84.33,84,39,11.01
195,Port Elizabeth,ZA,2022-04-28 00:05:43,-33.918,25.5701,58.37,74,1,5.77
196,Mahina,PF,2022-04-28 00:06:02,-17.5065,-149.489,85.77,58,40,5.75
197,Umba,RU,2022-04-28 00:06:03,66.6871,34.3429,26.55,80,86,15.68
198,Oksovskiy,RU,2022-04-28 00:06:03,62.6062,39.8984,15.84,92,5,2.55
199,Labuhan,ID,2022-04-28 00:06:03,-6.8844,112.2051,80.11,84,97,4.36
200,Moree,AU,2022-04-28 00:06:04,-29.4667,149.85,75.22,60,100,17.27
201,Nsoko,SZ,2022-04-28 00:06:04,-27.0333,31.95,55.78,87,0,2.66
202,Copiapo,CL,2022-04-28 00:06:04,-27.3667,-70.3333,65.12,54,0,0.54
203,Tshikapa,CD,2022-04-28 00:06:05,-6.4167,20.8,68.16,98,93,2.15
204,Novopskov,UA,2022-04-28 00:06:05,49.5464,39.0899,47.43,87,6,5.28
205,Ugoofaaru,MV,2022-04-28 00:06:05,5.6667,73.0,84.42,70,84,2.95
206,Kichera,RU,2022-04-28 00:06:06,55.9375,110.0997,31.62,86,100,4.16
207,Mecca,SA,2022-04-28 00:06:06,21.4267,39.8261,81.88,50,1,7.36
208,Stornoway,GB,2022-04-28 00:06:07,58.2093,-6.3865,37.36,93,26,0.0
209,Lerwick,GB,2022-04-28 00:06:07,60.1545,-1.1494,42.8,69,94,7.43
210,Sebastian,US,2022-04-28 00:06:07,35.1668,-94.2669,72.16,71,59,5.06
211,Margate,GB,2022-04-28 00:01:36,51.3813,1.3862,46.87,73,52,5.01
